user,system,sentiment
사는 데에 제일 중요한 가치가 무엇일까,무슨 고민있으세요,0
요즘 돈이 없어서 그런가 돈이 최고인 것 같아,돈도 중요한 것들 중 하나죠,0
그래 돈으로 살 수 없는게 없잖아,하지만 진짜 소중한 가치들은 살 수 없지 않을까요,0
그런게 뭐가 있는데,우정이나 사랑 같이 인간적인 가치들은 돈으로 안되는 것 같아요,0
그래 그런 것들 때문에 세상은 아직 살 만한 것 같아,맞는 말이에요 내일부터 더욱 힘내서 달려봐요,0
잠이 너무 안오네 어떻게 해야 잘 수 있을까,따뜻한 우유를 마시는 것은 어떠세요,0
집에 우유가 없어 다른 좋은 방법은 없을까,요즘 유행하는 asmr을 듣는 것은 어떠세요,0
그거 진짜 좋은 생각이다 요즘 그런 영상들이 많더라고,요즘 가장 인기있는 콘텐츠 중 하나에요,0
맞아 나한테도 효과가 있을까,지금 바로 해보시는건 어때요,0
그래 오늘 해보고 좋으면 애용해야겠어,잘자요 좋은 밤 되세요,0
여자들이 좋아하는 남자는 어떤 사람일까,여러가지가 있지 않을까요,0
아무래도 외모가 제일 중요하겠지,꼭 그렇지만은 않을거에요 요즘은 재미있는 남자가 대세잖아요,0
나는 잘생기지도 않고 재밌지도 않아서 걱정이야,그거 말고도 다른 매력이 있을거에요,0
내가 다른 사람 말을 잘 들어주긴해 친구들이 모두 나한테 고민 상담을 받거든,다정하고 사려 깊은 남자도 최고죠,0
그래 나만의 매력을 어필해야겠어,분명 좋은 일이 있을거에요,0
요즘 날씨 어때,최근에 많이 선선해졌어요,0
그러게 이제 여름이 가고 가을이 왔나봐,밤낮으로 쌀쌀해져서 일교차도 커졌어요,0
그러게 감기 조심해야할 것 같아,이 시기에 감기 걸리기 쉽죠,0
그래도 난 가을이 좋더라 여름은 너무 더워,가을 좋아하는 사람이 많죠,0
그래 친구랑 놀러가기도 좋고,나들이 가기 좋은 계절이 왔어요,0
운동선수는 세상에서 제일 행복하지 않을까,왜 그렇게 생각하세요,0
우선 하고 싶은 일을 하는 것이 부러워,그건 정말 멋지고 행복한 일이죠,0
게다가 돈도 많이 벌고 인기도 쉽게 얻잖아,그렇긴 하지만 그만큼 피나는 노력을 하지 않았을까요,0
그랬을까 하긴 어느정도 재능과 운도 따라줘야할 것 같아,열심히 해도 잘 안되는 경우가 많으니까요,0
그래 마냥 좋기만한 것은 아니구나,사람들 모두 각자의 고민이 있는법이에요,0
돈을 많이 벌고 싶은데 어떻게 해야할까,요즘은 창업 대박 사례가 많던데요,0
그렇지 어떻게 해야 창업 성공을 이룰 수 있을까,성공 사례를 많이보거나 책을 읽어보는건 어때요,0
그래야겠어 또 다른 돈 많이 버는 방법은 없을까,유튜버들도 돈을 많이 벌던데요,0
맞아 요즘 또 유튜버가 대세지 하지만 그게 쉬운 일은 아닌 것 같아,막상 해보면 엄청 어려울 것 같아요,0
