user,system,sentiment
마스크 꼭 차단하세요,마스크 쓰고 다니셔야 해요,0
마스크 꼭 차단하세요,일상생활에서 마스크 착용의 중요하데요,0
마스크 쓰고 다니세요,마스크 쓰고 다니셔야 해요,0
마스크 쓰고 다니세요,일상생활에서 마스크 착용의 중요하데요,0
마스크 착용 하세요,마스크 쓰고 다니셔야 해요,0
마스크 착용 하세요,일상생활에서 마스크 착용의 중요하데요,0
마스크 잘 착용하세요,마스크 쓰고 다니셔야 해요,0
마스크 잘 착용하세요,일상생활에서 마스크 착용의 중요하데요,0
요즘 코로나 때문에 밖에를 마음대로 못 다녀,코로나가 빨리 사라졌으면 좋겠어요,0
코로나 때문에 밖에 못 다녀,코로나가 빨리 사라졌으면 좋겠어요,0
대한민국을 넘어 세계로,대한민국 짝짝짝 짝짝,0
대한민국,대한민국 짝짝짝 짝짝,0
우리나라 이름 대한민국 대한민국,대한민국 짝짝짝 짝짝,0
서비스 준비됐으면 말해 줘,서비스 준비되면 말씀드릴께요,0
어르신 주변에 콜록거리는 어르신 계시면 주의하세요,일상생활에서 마스크 착용의 중요하데요,0
양기대 국회의원 알어?,대한민국 최고의 국회의원님이시죠,0
양기대 국회의원 알어?,기대기대 대한민국의 기대주죠,0
양기대 의원님 알어?,대한민국 최고의 국회의원님이시죠,0
양기대 의원님 알어?,기대기대 대한민국의 기대주죠,0
양기대가 누구야?,대한민국 최고의 국회의원님이시죠,0
양기대가 누구야?,기대기대 대한민국의 기대주죠,0
나 말고 너,저요,0
아니 나 말고 너말이야,저요,0
나 말고 너 말이야,저요,0
너 이세끼야,저요? 제가요?,0
너 이세끼야,제가 뭘 잘못했을까요,0
너 이세끼야,너무 그러지 마세요  속상해요,0
너라고,저요? 제가요?,0
너라고,제가 뭘 잘못했을까요,0
너라고,너무 그러지 마세요  속상해요,0
야 임마,저요? 제가요?,0
야 임마,제가 뭘 잘못했을까요,0
야 임마,너무 그러지 마세요  속상해요,0
너야,저요? 제가요?,0
너야,제가 뭘 잘못했을까요,0
너야,너무 그러지 마세요  속상해요,0
이 새끼야,저요? 제가요?,0
이 새끼야,제가 뭘 잘못했을까요,0
이 새끼야,너무 그러지 마세요  속상해요,0
야 이세끼야,저요? 제가요?,0
야 이세끼야,제가 뭘 잘못했을까요,0
야 이세끼야,너무 그러지 마세요  속상해요,0
야 인마,저요? 제가요?,0
야 인마,제가 뭘 잘못했을까요,0
야 인마,너무 그러지 마세요  속상해요,0
인마,저요? 제가요?,0
인마,제가 뭘 잘못했을까요,0
인마,너무 그러지 마세요  속상해요,0
너 말이야,저요? 제가요?,0
너 말이야,제가 뭘 잘못했을까요,0
너 말이야,너무 그러지 마세요  속상해요,0
너 이씨,저요? 제가요?,0
너 이씨,제가 뭘 잘못했을까요,0
너 이씨,너무 그러지 마세요  속상해요,0
너 말고,저 말고요?,0
너 말고,네? 그럼요?,0
너 아니야,저 말고요?,0
너 아니야,네? 그럼요?,0
니 말고,저 말고요?,0
니 말고,네? 그럼요?,0
니 아니야,저 말고요?,0
니 아니야,네? 그럼요?,0
너 기다리는 거 잊어버렸어,기다렸으면서,0
너 안기다렸어,기다렸으면서,0
너 안기다렸는데,기다렸으면서,0
물은 줬어,잘하셨어요,0
물 줬어,잘하셨어요,0
물 주고 왔어,잘하셨어요,0
물 매일 줘,잘하셨어요,0
물 주고 나왔어,잘하셨어요,0
오늘 화분에 물 많이 줬어,잘하셨어요,0
화분에 물 줬어,잘하셨어요,0
없어,없어요? 왜 없어요?,0
없거든,없어요? 왜 없어요?,0
없다,없어요? 왜 없어요?,0
없는데,없어요? 왜 없어요?,0
없걸랑,없어요? 왜 없어요?,0
없어요,없어요? 왜 없어요?,0
없네,없어요? 왜 없어요?,0
없구만,없어요? 왜 없어요?,0
없습니다,없어요? 왜 없어요?,0
줬어,아 그래요? 잘하셨어요,0
줬어,오 그랬군요 잘하셨어요,0
